word,pinyin
挨家挨户,āi jiā āi hù
罢黜百家,bà chù bǎi jiā
百花争妍,bǎi huā zhēng yán
半丝半缕,bàn sī bàn lǚ
便宜行事,biàn yí xíng shì
不紧不慢,bù jǐn bù màn
不破不立,bú pò bú lì
不仁不义,bù rén bú yì
不贪为宝,bù tān wéi bǎo
不徇私情,bù xùn sī qíng
不越雷池,bù yuè léi chí
不足为虑,bù zú wéi lǜ
财大气粗,cái dà qì cū
苍白无力,cāng bái wú lì
草船借箭,cǎo chuán jiè jiàn
长生不死,cháng shēng bù sǐ
成家立业,chéng jiā lì yè
尺寸之功,chǐ cùn zhī gōng
愁眉不展,chóu méi bù zhǎn
春秋笔法,chūn qiū bǐ fǎ
纯属骗局,chún shǔ piàn jú
打马虎眼,dǎ mǎ hu yǎn
大步流星,dà bù liú xīng
大人先生,dà rén xiān sheng
大雨滂沱,dà yǔ pāng tuó
戴高帽子,dài gāo mào zi
单枪匹马,dān qiāng pǐ mǎ
地动山摇,dì dòng shān yáo
帝王将相,dì wáng jiàng xiàng
杜鹃啼血,dù juān tí xuè
多嘴多舌,duō zuǐ duō shé
扼腕叹息,è wàn tàn xī
耳濡目染,ěr rú mù rǎn
耳顺之年,ěr shùn zhī nián
翻箱倒箧,fān xiāng dǎo qiè
贩夫走卒,fàn fū zǒu zú
风行一时,fēng xíng yī shí
风云变幻,fēng yún biàn huàn
风姿绰约,fēng zī chuò yuē
负债累累,fù zhài lěi lěi
干脆利索,gān cuì lì suǒ
干净利索,gān jìng lì suǒ
钢筋铁骨,gāng jīn tiě gǔ
各有所长,gè yǒu suǒ cháng
狗拿耗子,gǒu ná hào zi
关门闭户,guān mén bì hù
官运亨通,guān yùn hēng tōng
荷枪实弹,hè qiāng shí dàn
鸿鹄之志,hóng hú zhī zhì
狐狸尾巴,hú li wěi ba
怀才不遇,huái cái bú yù
欢呼雀跃,huān hū què yuè
浑水摸鱼,hún shuǐ mō yú
积土成山,jī tǔ chéng shān
坚壁清野,jiān bì qīng yě
间不容发,jiān bù róng fà
简明扼要,jiǎn míng è yào
尽释前嫌,jìn shì qián xián
进德修业,jìn dé xiū yè
进退两难,jìn tuì liǎng nán
惊心动魄,jīng xīn dòng pò
敬业乐群,jìng yè lè qún
君子固穷,jūn zǐ gù qióng
君子协定,jūn zǐ xié dìng
君子之交,jūn zǐ zhī jiāo
开怀畅饮,kāi huái chàng yǐn
锒铛入狱,láng dāng rù yù
唠唠叨叨,lāo lāo dāo dāo
梨花带雨,lí huā dài yǔ
令人捧腹,lìng rén pěng fù
鹿死谁手,lù sǐ shuí shǒu
屡教不改,lǚ jiào bù gǎi
屡战屡败,lǚ zhàn lǚ bài
率土之滨,shuài tǔ zhī bīn
卖文为生,mài wén wéi shēng
漫天遍野,màn tiān biàn yě
没头苍蝇,méi tóu cāng ying
名胜古迹,míng shèng gǔ jì
